[    0]     0.000 | 0 | 0
[    1]     5.383 | 0 | 0
[    2]    10.767 | 0 | 0
[    3]    16.150 | 0 | 0
[    4]    21.533 | 0 | 0
[    5]    26.917 | 0 | 0
[    6]    32.300 | 0 | 3
[    7]    37.683 | 0 | 5
[    8]    43.066 | 0 | 8
[    9]    48.450 | 0 | 10
[   10]    53.833 | 1 | 0
[   11]    59.216 | 1 | 1
[   12]    64.600 | 1 | 3
[   13]    69.983 | 1 | 4
[   14]    75.366 | 1 | 5
[   15]    80.750 | 1 | 7
[   16]    86.133 | 1 | 8
[   17]    91.516 | 1 | 9
[   18]    96.899 | 1 | 10
[   19]   102.283 | 1 | 11
[   20]   107.666 | 2 | 0
[   21]   113.049 | 2 | 0
[   22]   118.433 | 2 | 1
[   23]   123.816 | 2 | 2
[   24]   129.199 | 2 | 3
[   25]   134.583 | 2 | 3
[   26]   139.966 | 2 | 4
[   27]   145.349 | 2 | 5
[   28]   150.732 | 2 | 5
[   29]   156.116 | 2 | 6
[   30]   161.499 | 2 | 7
[   31]   166.882 | 2 | 7
[   32]   172.266 | 2 | 8
[   33]   177.649 | 2 | 8
[   34]   183.032 | 2 | 9
[   35]   188.416 | 2 | 9
[   36]   193.799 | 2 | 10
[   37]   199.182 | 2 | 10
[   38]   204.565 | 2 | 11
[   39]   209.949 | 2 | 11
[   40]   215.332 | 3 | 0
[   41]   220.715 | 3 | 0
[   42]   226.099 | 3 | 0
[   43]   231.482 | 3 | 1
[   44]   236.865 | 3 | 1
[   45]   242.249 | 3 | 2
[   46]   247.632 | 3 | 2
[   47]   253.015 | 3 | 2
[   48]   258.398 | 3 | 3
[   49]   263.782 | 3 | 3
[   50]   269.165 | 3 | 3
[   51]   274.548 | 3 | 4
[   52]   279.932 | 3 | 4
[   53]   285.315 | 3 | 4
[   54]   290.698 | 3 | 5
[   55]   296.082 | 3 | 5
[   56]   301.465 | 3 | 5
[   57]   306.848 | 3 | 6
[   58]   312.231 | 3 | 6
[   59]   317.615 | 3 | 6
[   60]   322.998 | 3 | 7
[   61]   328.381 | 3 | 7
[   62]   333.765 | 3 | 7
[   63]   339.148 | 3 | 7
[   64]   344.531 | 3 | 8
[   65]   349.915 | 3 | 8
[   66]   355.298 | 3 | 8
[   67]   360.681 | 3 | 9
[   68]   366.064 | 3 | 9
[   69]   371.448 | 3 | 9
[   70]   376.831 | 3 | 9
[   71]   382.214 | 3 | 10
[   72]   387.598 | 3 | 10
[   73]   392.981 | 3 | 10
[   74]   398.364 | 3 | 10
[   75]   403.748 | 3 | 11
[   76]   409.131 | 3 | 11
[   77]   414.514 | 3 | 11
[   78]   419.897 | 3 | 11
[   79]   425.281 | 3 | 11
[   80]   430.664 | 4 | 0
[   81]   436.047 | 4 | 0
[   82]   441.431 | 4 | 0
[   83]   446.814 | 4 | 0
